address,amount
0x1AD6614E80E35e7B45BAa72256F9D1968f65f0eB,0.0066
0x52aF81e46033483882ea343bE8bc91f2113f4382,0.0066
0x37271A9B59Bb42CB3Eb3c697c7277460E892Da96,0.0066
0xcF7c9909770D5FB89b21097076b1A0C90E7F9F16,0.0066
0xb44D521c903A06851b64C15B8f04aFd0be9831e7,0.0066
0x5B0d1400e83835871EB101881b18cEbAcC3a4424,0.0066
0x903938a6eE16fc1c52DC12aa124b23365d720634,0.0066
0x32B43bF7EcdBD966437C76F58d39f996961b218C,0.0066
0x8926a11f171BA2823a1dfD448a501958A5224A9F,0.0066
0xaa330AA9aC87FC20F927E324dD7632C4936dc798,0.0066   
0x4f5f55E2a7759A8e38Ee12Fb655C137D941DD9d5,0.0066
0x088f626AE6c7C2504c6F2ef3C30B49D55Dc3d524,0.0066
0x0Bcf5cAA80E98EABF59010295703643e8cDE5F1F,0.0066
0xb0773342C04fEA0AA48751745bDCa0A7768994e1,0.0066
0x0d72493f823f7aAD3286F32e0dc1BaD2cacdF9c5,0.0066
0x898477ac1db3C5ADd76C8BfdfDe958bB70c5b5d4,0.0066
0xf84a513a6Fe97A4492323F775682cC1372892295,0.0066
0x80E6f671C42B1c70c26E7108773D884c482DBC07,0.0066
0xb643721A4B6A58b80411Bf1fEAB56BF94Eb5442d,0.0066
0x35D7C81d3Fc6662182aac763Df94134Bd87Ca13a,0.0066
0x10DFb3783726c471Dcb879d053bF43894a63ed23,0.0066
0xf979Ec471E360a8d3753EE161e92D4D535aE7b5a,0.0066
0x4fB9bc04386442076200AECEc7ac0d050a2d6C03,0.0066
0x1a63a7410F08614cAf12Ae9670F8900E256b6b8A,0.0066
0x8262d4A9BA226F31066A3B6cA867F23d7c8aeEDB,0.0066
0x4b8b1efF6D2c6B9eBe24C37ddB963bf1437e2Edb,0.0066
0x6842a12cC2F7F800aB75Ed2A6cf72d7F3B47A956,0.0066
0xcE121b9106e7FC1601db3f61Fc732c38ffe7ec10,0.0066
0x285c918dDd4Ea5BD30D329F4d4819d390D25d262,0.0066
0x2A93030D4Af05751760eE9AD77159D85C265217A,0.0066
0xf6dF3287F645dAb99CA738325296B22a92e9DBf5,0.0066
0x1D8EFb04772D474Ac41118457468c60DC6b133a0,0.0066
0xa408490e45FF11fe3b1FB8BEdF97fd789af3F158,0.0066
0x09a0Bbe0BBBEce74Dc35fa5f990f7c06C3F54794,0.0066
0x8A005F62618CebeDa9A8d65F0639204Fa921b8BA,0.0066
0x3ED11fCFD403664738F6Be32C27c1d1514b8eE75,0.0066
0x9a2B9B5cc1696f9a4F88baA4eb7490961A41801F,0.0066
0xce3dD72936e420c1176B95B0ede57684BB439B8f,0.0066
0x68BD740CCD3ba2a973feD57E91b1725aeF68D334,0.0066
0x82dBa1942D03Dcac8AEcd2b865Ec4fED177Aba29,0.0066
0xB8E2691b68610508593C5203aFa440f5b2feEf3c,0.0066
0xE7eb5B07237912997f4e7Be1BAB6758DD27ef38a,0.0066
0xc52145A7Ba6e4a2CdC5Bc51B49A9f785b87d2402,0.0066
0x79B02E1Da6c0063Cf532E637C13e3391f261cf01,0.0066
0xFD96204b6157A92597d9168a90A894d4A6594d90,0.0066
0x6Df95CE3A58E18dEb81A3D8E3cf62169950733E6,0.0066
0x98aBDd482660E7c1bda117b6e0e347d411304aaf,0.0066
0x907751F2442d269A41a4AD027477543e6Be4791b,0.0066
0xc09106b83b88e505C08B5Fce663Af67A8759a066,0.0066
0x67d4C772f5a00b8dC4078f8D7084EB7D5C146268,0.0066
0x50DB0b2277a1172a7ad0E4dac4bA1167C1Ec68f2,0.0066
0xE2ec8d086cF03B3E8f27b0A3FE4Edf9b3D8ff84B,0.0066
0xB39045ef0F30921f4F4Ec6AD46A4E46251b85bEa,0.0066
0x32BB2FffBeE98ad6B0f64DBcB654bEaC609610a5,0.0066
0x82d390Bdc651c27020eE7F8eb000b0C321C1d934,0.0066
0x68E410Bc0ec9A10f4db4320Fbe5Fc7397f037207,0.0066
0x90E706796E024a2C9deE1a42D6dD3C398FF9B846,0.0066
0x4E6D9369727e4af9Aa210e07d13D653658701f3e,0.0066
0x557F62cD0B5324933a389c750b420CDB9C35B26a,0.0066
0x62CAaFB6B13eFC064550c136d35975eB24103f93,0.0066
0x443977bDF5E7257eFa468f97DC2a84d594D80C09,0.0066
0x2d951482569767aE20FfaFad5aC06f262973458E,0.0066
0xB78C7CC6780e533CbcDBd7f6Dea77F0ee1Ba00ef,0.0066
0x813647196C5bc10498c63C5d5b41729bD316cB28,0.0066
0x291e0dA7D76f8E26e8c4d5382EA13E6E8a70B500,0.0066
0xaf50CFe44a97fA404bBc22EAF471499e7D47E017,0.0066
0xCbf80c82b29DF48A0185a92D04Fa021F2200Ecb8,0.0066
0xD4236ef50964f72d8De7217808e76cF2616b4d9b,0.0066
0xc32A6D348C932c1e9C3Ba692310a3e01a992EDE5,0.0066
0xD31F3700cddc4Bf01b8E718a5950D15318A78E53,0.0066
0xf0Ebd307379F87202104171BE638a8D349ab32A9,0.0066
0xC26AC2ab5EE5B725a207009A5Ab1ae5c2464F7d5,0.0066
0x7a2144E5d09d98e1deC08f815f6A53fCd195d72D,0.0066
0x9C6eB03F34379e846eacA77CEa9E5856Cd62D111,0.0066
0xbc1cCCf4F94529939C65Ad2A8D6909bb953792Fc,0.0066
0x1564140215Bb25497d6485E18308e59444C8d9eF,0.0066
0x11fA89a7661d3fb7dfC1f5336eb9C39ea0399b34,0.0066
0xF964eFaE467362CDE3cE082F2230a9c08E717502,0.0066
0xfe8c143b300DA248b04e4fFb43Fda1CC726B5ff6,0.0066
0xc95Bb5c460d907D000428CB945e17da0394C7E7C,0.0066
0xc4CEaADa12721292Ea01AAa961c5BC1021Feb5bd,0.0066
0x43Ef20C6773C7A0FDFe2FFA63De73959c116Ac67,0.0066
0x9Ea46b727fE54cc248c8E30f0d29b418d76D40B7,0.0066
0x30fEf25d1e3e654CBAd31aFD298D203F27f2831b,0.0066
0x55aD2AcBB9310E6E6A4256b8F784147A8b20B7b4,0.0066
0x58f02bf01A88EdA3c1e26076f6263c752B7D37c4,0.0066
0xc0E5952C1AC30647B5862b5b470AeC5f36ce0a1E,0.0066
0x17a7C0fB8c3535e8bA2Dd13670a7fB57895CFff2,0.0066
0x692F97b24fa45D42E7478BD3503b3cc22576DD9b,0.0066
0x30341B5798c9Cd5c3dAb1b0C2F68E9E37d8Be8De,0.0066
0x78a70a08c2f66400edeFf4f1745DCEF18Af288E6,0.0066
0xE43FCe25279212a392D22e411dD4217089369c58,0.0066
0x21f46506A08d35eBD25DA7dDD57aaF80870293Bd,0.0066
0xe06Ac05552317D77a18Fcf7E3D63Ff4eEC16DB78,0.0066
0x8761474ff0FdBd9c69Eb9AAb0F749ba9083f1A25,0.0066
0xf6100f3543BcCe8fA56Bb2ef6CcF10F3Cb8eC318,0.0066
0xB91B60a252834B2191ed16704464f787b835a109,0.0066
0x628B97B77416a692Fd762CCEFd71434a4601D277,0.0066
0xC8cc35AF49e7A05d522b30eBF3E917D197C864B2,0.0066
